id,name,bio,contact,age,is_active,born_on
1,"Daren Carroll","36156 Hoeger Lodge Apt. 565
New Gudrun, SC 29332-7938",+13192900578,44,No,18-08-1973
2,"Prof. Maximilian Pfeffer","1647 Flatley Crescent
Lake Junior, IN 42421",+19365445479,28,No,13-08-1995
3,"Stephania Reilly Jr.","60229 Cameron Park Suite 841
Kassulkefurt, MA 07844-8914",+17277838327,18,Yes,07-03-1999
4,"Verdie Stanton MD","427 Jacobi Ridges
Lake Gerhard, MS 48311-4529",+17759246205,59,Yes,01-05-1982
5,"Ramon O'Reilly","121 Quinn Ferry
West Codybury, OH 81268-8933",+19302879852,80,Yes,24-05-2010
6,"Audreanne Trantow","8132 Donnelly Glens Suite 297
West May, AL 03735-8177",+13602487979,62,Yes,18-01-2021
7,"Zelda Veum","8522 Cartwright Cape Suite 737
Cormierburgh, OK 34747-4202",+12286932757,16,No,10-07-2019
8,"Mr. Anthony Moore","45273 Rath Path Suite 983
East Theresaberg, NH 26577",+12017528605,34,No,09-09-2003
9,"Mr. Misael Sanford","28435 Balistreri Place Suite 210
North Marcellusshire, VT 76487",+12315917414,40,Yes,09-04-1976
10,"Chad Botsford","15748 Wisoky Expressway
Kuphalstad, PA 20471",+15514028909,14,No,19-06-2001
11,"Archibald Maggio","803 Russ Parks
Mrazton, NC 13555-3933",+15619617940,55,No,16-02-1981
12,"Christa Rau","980 Mallie Shores Apt. 857
West Katlynn, TN 39731-8370",+18724162660,10,No,23-04-2023
13,"Daniella Rempel II","5776 Roman Corners Suite 093
South Scotty, NV 42842-1587",+17017472112,88,No,16-11-1979
14,"Miss Emmy Heller III","2372 Boyer Village
East Tyreseville, CO 78036",+19152302466,67,Yes,02-11-2010
15,"Seamus Lubowitz","237 Gerry Road Apt. 966
East Danside, HI 46543",+18308416203,64,Yes,03-11-2007
16,"Mrs. Mozell Padberg","785 Thalia Square
Carterhaven, RI 85608-1922",+18129160066,33,Yes,20-11-1974
17,"Melvina Tremblay","48666 Von Trace Suite 832
East Lilyan, VT 93810-3268",+16782059340,18,No,31-03-1984
18,"Elmo Kuhlman","673 Kelsie Mount Apt. 835
Lake Caterina, KS 36300-6207",+17856183181,14,Yes,30-06-1973
